DATE,OPEN,TREND,NEWS ISSUE,NEGATIVE,NEUTRAL,POSITIVE,AVERAGE NEWS
2023-01-01,16541.77,0,15.0,0.0,10.0,5.0,0.3333333333333333
2023-01-02,16617.17,0,2.0,0.0,2.0,0.0,0.0
2023-01-03,16672.78,0,8.0,0.0,5.0,3.0,0.375
2023-01-04,16675.65,0,11.0,2.0,4.0,5.0,0.2727272727272727
2023-01-05,16850.36,0,13.0,1.0,6.0,6.0,0.38461538461538464
2023-01-06,16831.85,0,6.0,2.0,2.0,2.0,0.0
2023-01-07,16950.31,0,14.0,1.0,7.0,6.0,0.35714285714285715
2023-01-08,16943.83,0,7.0,1.0,5.0,1.0,0.0
2023-01-09,17127.83,0,13.0,2.0,8.0,3.0,0.07692307692307693
2023-01-10,17179.04,0,10.0,0.0,3.0,7.0,0.7
2023-01-11,17440.64,1,9.0,0.0,7.0,2.0,0.2222222222222222
2023-01-12,17943.26,1,13.0,1.0,6.0,6.0,0.38461538461538464
2023-01-13,18846.62,1,12.0,3.0,5.0,4.0,0.08333333333333333
2023-01-14,19930.01,1,16.0,0.0,13.0,3.0,0.1875
2023-01-15,20952.76,1,9.0,1.0,7.0,1.0,0.0
2023-01-16,20872.99,1,9.0,2.0,3.0,4.0,0.2222222222222222
2023-01-17,21185.65,1,12.0,0.0,10.0,2.0,0.16666666666666666
2023-01-18,21132.29,1,16.0,1.0,7.0,8.0,0.4375
2023-01-19,20677.47,1,19.0,3.0,7.0,9.0,0.3157894736842105
2023-01-20,21071.59,1,15.0,0.0,10.0,5.0,0.3333333333333333
2023-01-21,22666.0,1,8.0,0.0,3.0,5.0,0.625
2023-01-22,22783.35,1,10.0,0.0,8.0,2.0,0.2
2023-01-23,22706.02,1,9.0,0.0,7.0,2.0,0.2222222222222222
2023-01-24,22917.81,1,5.0,0.0,4.0,1.0,0.2
2023-01-25,22631.94,1,14.0,0.0,6.0,8.0,0.5714285714285714
2023-01-26,23060.42,1,7.0,0.0,5.0,2.0,0.2857142857142857
2023-01-27,23009.65,1,6.0,0.0,4.0,2.0,0.3333333333333333
2023-01-28,23074.16,1,6.0,0.0,5.0,1.0,0.16666666666666666
2023-01-29,23021.4,1,12.0,2.0,6.0,4.0,0.16666666666666666
2023-01-30,23743.37,1,14.0,0.0,11.0,3.0,0.21428571428571427
2023-01-31,22827.38,1,19.0,0.0,11.0,8.0,0.42105263157894735
2023-02-01,23125.13,1,16.0,1.0,10.0,5.0,0.25
2023-02-02,23731.41,1,8.0,0.0,3.0,5.0,0.625
2023-02-03,23489.33,1,8.0,0.0,3.0,5.0,0.625
2023-02-04,23431.9,1,3.0,1.0,2.0,0.0,-0.3333333333333333
2023-02-05,23327.66,1,9.0,0.0,6.0,3.0,0.3333333333333333
2023-02-06,22932.91,-1,14.0,3.0,5.0,6.0,0.21428571428571427
2023-02-07,22762.52,-1,13.0,0.0,7.0,6.0,0.46153846153846156
2023-02-08,23242.42,1,4.0,0.0,3.0,1.0,0.25
2023-02-09,22961.85,-1,12.0,0.0,6.0,6.0,0.5
2023-02-10,21797.83,-1,8.0,1.0,6.0,1.0,0.0
2023-02-11,21625.19,-1,6.0,0.0,4.0,2.0,0.3333333333333333
2023-02-12,21862.02,-1,21.0,2.0,7.0,12.0,0.47619047619047616
2023-02-13,21782.37,-1,13.0,0.0,9.0,4.0,0.3076923076923077
2023-02-14,21774.63,-1,10.0,1.0,4.0,5.0,0.4
2023-02-15,22199.84,-1,9.0,1.0,6.0,2.0,0.1111111111111111
2023-02-16,24322.87,1,8.0,1.0,7.0,0.0,-0.125
2023-02-17,23517.72,1,9.0,0.0,5.0,4.0,0.4444444444444444
2023-02-18,24568.24,1,8.0,1.0,4.0,3.0,0.25
2023-02-19,24632.05,1,14.0,0.0,4.0,10.0,0.7142857142857143
2023-02-20,24272.51,1,21.0,0.0,11.0,10.0,0.47619047619047616
2023-02-21,24843.89,1,9.0,2.0,4.0,3.0,0.1111111111111111
2023-02-22,24450.67,1,3.0,0.0,2.0,1.0,0.3333333333333333
2023-02-23,24182.21,1,5.0,0.0,2.0,3.0,0.6
2023-02-24,23940.2,1,14.0,1.0,8.0,5.0,0.2857142857142857
2023-02-25,23184.04,1,8.0,1.0,4.0,3.0,0.25
2023-02-26,23157.07,-1,10.0,2.0,2.0,6.0,0.4
2023-02-27,23554.85,1,12.0,1.0,6.0,5.0,0.3333333333333333
2023-02-28,23492.09,-1,19.0,1.0,10.0,8.0,0.3684210526315789
2023-03-01,23141.57,-1,17.0,0.0,13.0,4.0,0.23529411764705882
2023-03-02,23629.76,-1,22.0,1.0,14.0,7.0,0.2727272727272727
2023-03-03,23465.32,-1,10.0,0.0,8.0,2.0,0.2
2023-03-04,22354.34,-1,7.0,0.0,7.0,0.0,0.0
2023-03-05,22346.57,-1,9.0,2.0,6.0,1.0,-0.1111111111111111
2023-03-06,22430.24,-1,19.0,4.0,9.0,6.0,0.10526315789473684
2023-03-07,22409.41,-1,17.0,0.0,11.0,6.0,0.35294117647058826
2023-03-08,22198.56,-1,19.0,2.0,9.0,8.0,0.3157894736842105
2023-03-09,21704.37,-1,23.0,0.0,12.0,11.0,0.4782608695652174
2023-03-10,20362.21,-1,23.0,2.0,11.0,10.0,0.34782608695652173
2023-03-11,20150.69,-1,15.0,1.0,7.0,7.0,0.4
2023-03-12,20455.73,-1,28.0,2.0,10.0,16.0,0.5
2023-03-13,21998.05,-1,80.0,6.0,53.0,21.0,0.1875
2023-03-14,24112.27,1,49.0,4.0,33.0,12.0,0.16326530612244897
2023-03-15,24670.41,1,29.0,2.0,18.0,9.0,0.2413793103448276
2023-03-16,24285.66,1,37.0,1.0,28.0,8.0,0.1891891891891892
2023-03-17,24998.78,1,49.0,6.0,21.0,22.0,0.32653061224489793
2023-03-18,27395.13,1,30.0,2.0,21.0,7.0,0.16666666666666666
2023-03-19,26907.49,1,40.0,3.0,24.0,13.0,0.25
2023-03-20,27972.87,1,33.0,2.0,15.0,16.0,0.42424242424242425
2023-03-21,27717.01,1,42.0,4.0,26.0,12.0,0.19047619047619047
2023-03-22,28107.81,1,28.0,4.0,11.0,13.0,0.32142857142857145
2023-03-23,27250.97,1,28.0,1.0,17.0,10.0,0.32142857142857145
2023-03-24,28295.42,1,29.0,2.0,17.0,10.0,0.27586206896551724
2023-03-25,27454.46,1,23.0,2.0,12.0,9.0,0.30434782608695654
2023-03-26,27462.96,1,33.0,3.0,13.0,17.0,0.42424242424242425
2023-03-27,27968.05,1,25.0,0.0,17.0,8.0,0.32
2023-03-28,27124.9,-1,18.0,2.0,13.0,3.0,0.05555555555555555
2023-03-29,27261.06,1,36.0,1.0,24.0,11.0,0.2777777777777778
2023-03-30,28348.6,1,33.0,5.0,21.0,7.0,0.06060606060606061
2023-03-31,28028.53,1,4.0,0.0,2.0,2.0,0.5
2023-04-01,28465.36,1,17.0,0.0,8.0,9.0,0.5294117647058824
2023-04-02,28452.74,1,17.0,2.0,7.0,8.0,0.35294117647058826
2023-04-03,28171.87,-1,12.0,0.0,8.0,4.0,0.3333333333333333
2023-04-04,27800.0,1,14.0,1.0,10.0,3.0,0.14285714285714285
2023-04-05,28165.47,1,11.0,3.0,3.0,5.0,0.18181818181818182
2023-04-06,28170.01,1,19.0,1.0,9.0,9.0,0.42105263157894735
2023-04-07,28033.83,1,13.0,1.0,6.0,6.0,0.38461538461538464
2023-04-08,27906.34,1,10.0,2.0,4.0,4.0,0.2
2023-04-09,27938.38,-1,9.0,0.0,3.0,6.0,0.6666666666666666
2023-04-10,28323.76,1,25.0,1.0,16.0,8.0,0.28
2023-04-11,29637.35,1,17.0,1.0,11.0,5.0,0.23529411764705882
2023-04-12,30200.43,1,13.0,0.0,5.0,8.0,0.6153846153846154
2023-04-13,29888.07,1,6.0,1.0,4.0,1.0,0.0
2023-04-14,30373.84,1,10.0,0.0,5.0,5.0,0.5
2023-04-15,30466.93,1,7.0,1.0,2.0,4.0,0.42857142857142855
2023-04-16,30295.1,1,10.0,1.0,6.0,3.0,0.2
2023-04-17,30304.66,1,11.0,1.0,3.0,7.0,0.5454545454545454
2023-04-18,29430.27,1,10.0,0.0,5.0,5.0,0.5
2023-04-19,30380.01,1,18.0,3.0,13.0,2.0,-0.05555555555555555
2023-04-20,28797.1,1,11.0,0.0,8.0,3.0,0.2727272727272727
2023-04-21,28243.65,-1,8.0,0.0,5.0,3.0,0.375
2023-04-22,27262.84,-1,16.0,0.0,8.0,8.0,0.5
2023-04-23,27816.85,-1,13.0,0.0,7.0,6.0,0.46153846153846156
2023-04-24,27590.59,-1,8.0,0.0,8.0,0.0,0.0
2023-04-25,27510.93,-1,3.0,0.0,1.0,2.0,0.6666666666666666
2023-04-26,28300.8,-1,16.0,0.0,13.0,3.0,0.1875
2023-04-27,28415.29,-1,22.0,1.0,11.0,10.0,0.4090909090909091
2023-04-28,29472.77,1,3.0,1.0,1.0,1.0,0.0
2023-04-29,29311.69,-1,7.0,0.0,5.0,2.0,0.2857142857142857
2023-04-30,29230.45,1,2.0,0.0,2.0,0.0,0.0
2023-05-01,29233.2,1,5.0,0.0,4.0,1.0,0.2
2023-05-02,28068.26,1,14.0,1.0,7.0,6.0,0.35714285714285715
2023-05-03,28669.85,1,24.0,1.0,16.0,7.0,0.25
2023-05-04,29026.16,1,29.0,1.0,15.0,13.0,0.41379310344827586
2023-05-05,28838.16,1,10.0,0.0,6.0,4.0,0.4
2023-05-06,29505.6,1,7.0,1.0,3.0,3.0,0.2857142857142857
2023-05-07,28848.19,1,10.0,1.0,7.0,2.0,0.1
2023-05-08,28430.09,-1,18.0,0.0,12.0,6.0,0.3333333333333333
2023-05-09,27668.8,-1,18.0,2.0,10.0,6.0,0.2222222222222222
2023-05-10,27628.28,-1,19.0,1.0,9.0,9.0,0.42105263157894735
2023-05-11,27598.74,-1,11.0,3.0,5.0,3.0,0.0
2023-05-12,26968.61,-1,11.0,1.0,9.0,1.0,0.0
2023-05-13,26795.01,-1,12.0,2.0,6.0,4.0,0.16666666666666666
2023-05-14,26775.27,-1,12.0,1.0,8.0,3.0,0.16666666666666666
2023-05-15,26917.61,-1,4.0,0.0,2.0,2.0,0.5
2023-05-16,27162.15,-1,12.0,0.0,5.0,7.0,0.5833333333333334
2023-05-17,27033.85,-1,10.0,1.0,8.0,1.0,0.0
2023-05-18,27405.62,-1,11.0,2.0,6.0,3.0,0.09090909090909091
2023-05-19,26821.28,-1,17.0,1.0,10.0,6.0,0.29411764705882354
2023-05-20,26880.26,-1,11.0,1.0,9.0,1.0,0.0
2023-05-21,27102.42,-1,12.0,2.0,6.0,4.0,0.16666666666666666
2023-05-22,26747.78,-1,8.0,0.0,4.0,4.0,0.5
2023-05-23,26849.28,1,15.0,0.0,11.0,4.0,0.26666666666666666
2023-05-24,27219.61,1,10.0,1.0,5.0,4.0,0.3
2023-05-25,26329.0,-1,21.0,2.0,8.0,11.0,0.42857142857142855
2023-05-26,26473.8,-1,19.0,1.0,10.0,8.0,0.3684210526315789
2023-05-27,26705.93,-1,12.0,0.0,7.0,5.0,0.4166666666666667
2023-05-28,26854.28,-1,15.0,0.0,10.0,5.0,0.3333333333333333
2023-05-29,28065.01,1,17.0,1.0,12.0,4.0,0.17647058823529413
2023-05-30,27736.39,1,9.0,0.0,8.0,1.0,0.1111111111111111
2023-05-31,27694.39,1,17.0,6.0,8.0,3.0,-0.17647058823529413
2023-06-01,27210.36,1,16.0,0.0,10.0,6.0,0.375
2023-06-02,26817.93,-1,20.0,0.0,14.0,6.0,0.3
2023-06-03,27242.59,1,16.0,1.0,10.0,5.0,0.25
2023-06-04,27069.22,1,21.0,1.0,11.0,9.0,0.38095238095238093
2023-06-05,27115.2,1,20.0,1.0,13.0,6.0,0.25
2023-06-06,25728.2,-1,19.0,1.0,10.0,8.0,0.3684210526315789
2023-06-07,27230.07,1,25.0,1.0,11.0,13.0,0.48
2023-06-08,26339.34,-1,18.0,1.0,14.0,3.0,0.1111111111111111
2023-06-09,26498.62,-1,12.0,0.0,7.0,5.0,0.4166666666666667
2023-06-10,26477.8,-1,32.0,2.0,20.0,10.0,0.25
2023-06-11,25841.22,-1,20.0,3.0,13.0,4.0,0.05
2023-06-12,25925.54,-1,18.0,0.0,11.0,7.0,0.3888888888888889
2023-06-13,25905.2,-1,24.0,1.0,17.0,6.0,0.20833333333333334
2023-06-14,25934.24,-1,16.0,1.0,12.0,3.0,0.125
2023-06-15,25128.6,-1,22.0,1.0,15.0,6.0,0.22727272727272727
2023-06-16,25598.49,-1,19.0,1.0,12.0,6.0,0.2631578947368421
2023-06-17,26345.01,-1,20.0,0.0,14.0,6.0,0.3
2023-06-18,26516.99,1,9.0,0.0,5.0,4.0,0.4444444444444444
2023-06-19,26339.98,-1,12.0,2.0,9.0,1.0,-0.08333333333333333
2023-06-20,26844.35,1,21.0,1.0,12.0,8.0,0.3333333333333333
2023-06-21,28308.0,1,33.0,2.0,20.0,11.0,0.2727272727272727
2023-06-22,29993.89,1,42.0,4.0,32.0,6.0,0.047619047619047616
2023-06-23,29884.92,1,30.0,3.0,17.0,10.0,0.23333333333333334
2023-06-24,30688.51,1,26.0,1.0,19.0,6.0,0.19230769230769232
2023-06-25,30527.44,1,24.0,2.0,9.0,13.0,0.4583333333333333
2023-06-26,30462.67,1,19.0,2.0,10.0,7.0,0.2631578947368421
2023-06-27,30267.99,1,20.0,1.0,10.0,9.0,0.4
2023-06-28,30692.44,1,29.0,3.0,20.0,6.0,0.10344827586206896
2023-06-29,30077.4,1,28.0,0.0,14.0,14.0,0.5
2023-06-30,30447.31,1,5.0,0.0,3.0,2.0,0.4
2023-07-01,30471.99,1,19.0,0.0,11.0,8.0,0.42105263157894735
2023-07-02,30585.9,1,8.0,0.0,4.0,4.0,0.5
2023-07-03,30617.02,1,19.0,4.0,7.0,8.0,0.21052631578947367
2023-07-04,31156.2,1,17.0,2.0,14.0,1.0,-0.058823529411764705
2023-07-05,30766.52,1,26.0,2.0,18.0,6.0,0.15384615384615385
2023-07-06,30504.8,1,30.0,3.0,19.0,8.0,0.16666666666666666
2023-07-07,29895.42,-1,11.0,1.0,8.0,2.0,0.09090909090909091
2023-07-08,30344.7,-1,13.0,0.0,12.0,1.0,0.07692307692307693
2023-07-09,30284.63,1,10.0,0.0,7.0,3.0,0.3
2023-07-10,30160.71,-1,22.0,0.0,17.0,5.0,0.22727272727272727
2023-07-11,30411.57,-1,19.0,0.0,14.0,5.0,0.2631578947368421
2023-07-12,30622.1,1,21.0,3.0,17.0,1.0,-0.09523809523809523
2023-07-13,30380.0,-1,10.0,0.0,9.0,1.0,0.1
2023-07-14,31454.23,1,21.0,3.0,10.0,8.0,0.23809523809523808
2023-07-15,30312.0,-1,10.0,0.0,5.0,5.0,0.5
2023-07-16,30289.52,-1,12.0,0.0,7.0,5.0,0.4166666666666667
2023-07-17,30232.0,1,18.0,1.0,16.0,1.0,0.0
2023-07-18,30138.01,-1,32.0,3.0,22.0,7.0,0.125
2023-07-19,29859.14,-1,24.0,1.0,15.0,8.0,0.2916666666666667
2023-07-20,29909.21,-1,15.0,0.0,6.0,9.0,0.6
2023-07-21,29800.0,-1,16.0,0.0,6.0,10.0,0.625
2023-07-22,29901.72,-1,17.0,2.0,10.0,5.0,0.17647058823529413
2023-07-23,29793.99,-1,10.0,0.0,3.0,7.0,0.7
2023-07-24,30083.75,-1,33.0,1.0,24.0,8.0,0.21212121212121213
2023-07-25,29176.5,-1,17.0,1.0,9.0,7.0,0.35294117647058826
2023-07-26,29228.91,-1,22.0,2.0,14.0,6.0,0.18181818181818182
2023-07-27,29351.95,-1,17.0,5.0,10.0,2.0,-0.17647058823529413
2023-07-28,29222.78,-1,13.0,0.0,12.0,1.0,0.07692307692307693
2023-07-29,29314.14,-1,9.0,0.0,6.0,3.0,0.3333333333333333
2023-07-30,29352.9,-1,12.0,0.0,8.0,4.0,0.3333333333333333
2023-07-31,29281.09,-1,17.0,5.0,7.0,5.0,0.0
2023-08-01,29232.26,-1,13.0,0.0,11.0,2.0,0.15384615384615385
2023-08-02,29705.99,-1,14.0,1.0,11.0,2.0,0.07142857142857142
2023-08-03,29186.0,-1,12.0,3.0,6.0,3.0,0.0
2023-08-04,29193.65,1,11.0,1.0,7.0,3.0,0.18181818181818182
2023-08-05,29114.0,-1,19.0,1.0,13.0,5.0,0.21052631578947367
2023-08-06,29072.13,-1,4.0,0.0,2.0,2.0,0.5
2023-08-07,29088.43,-1,11.0,0.0,6.0,5.0,0.45454545454545453
2023-08-08,29211.06,-1,19.0,0.0,13.0,6.0,0.3157894736842105
2023-08-09,29770.41,1,23.0,0.0,15.0,8.0,0.34782608695652173
2023-08-10,29581.99,1,15.0,1.0,9.0,5.0,0.26666666666666666
2023-08-11,29455.76,1,11.0,0.0,9.0,2.0,0.18181818181818182
2023-08-12,29426.02,-1,11.0,2.0,5.0,4.0,0.18181818181818182
2023-08-13,29430.18,1,6.0,0.0,5.0,1.0,0.16666666666666666
2023-08-14,29303.85,1,15.0,1.0,13.0,1.0,0.0
2023-08-15,29430.92,1,15.0,1.0,12.0,2.0,0.06666666666666667
2023-08-16,29200.01,1,21.0,0.0,14.0,7.0,0.3333333333333333
2023-08-17,28730.51,-1,20.0,0.0,16.0,4.0,0.2
2023-08-18,26623.41,-1,11.0,1.0,8.0,2.0,0.09090909090909091
2023-08-19,26054.0,-1,8.0,0.0,7.0,1.0,0.125
2023-08-20,26100.01,-1,13.0,0.0,7.0,6.0,0.46153846153846156
2023-08-21,26190.0,-1,18.0,1.0,13.0,4.0,0.16666666666666666
2023-08-22,26126.92,-1,6.0,1.0,4.0,1.0,0.0
2023-08-23,26055.99,-1,19.0,4.0,12.0,3.0,-0.05263157894736842
2023-08-24,26432.71,-1,23.0,2.0,15.0,6.0,0.17391304347826086
2023-08-25,26180.05,-1,9.0,1.0,7.0,1.0,0.0
2023-08-26,26060.0,-1,13.0,3.0,8.0,2.0,-0.07692307692307693
2023-08-27,26017.38,-1,9.0,0.0,7.0,2.0,0.2222222222222222
2023-08-28,26101.78,-1,23.0,0.0,18.0,5.0,0.21739130434782608
2023-08-29,26120.0,1,28.0,2.0,16.0,10.0,0.2857142857142857
2023-08-30,27716.34,1,19.0,0.0,12.0,7.0,0.3684210526315789
2023-08-31,27299.99,1,11.0,1.0,7.0,3.0,0.18181818181818182
2023-09-01,25940.77,-1,12.0,1.0,7.0,4.0,0.25
2023-09-02,25805.04,-1,17.0,1.0,9.0,7.0,0.35294117647058826
2023-09-03,25869.52,-1,14.0,0.0,11.0,3.0,0.21428571428571427
2023-09-04,25971.21,-1,17.0,1.0,11.0,5.0,0.23529411764705882
2023-09-05,25826.03,-1,17.0,2.0,11.0,4.0,0.11764705882352941
2023-09-06,25792.11,-1,19.0,1.0,11.0,7.0,0.3157894736842105
2023-09-07,25759.95,-1,17.0,1.0,11.0,5.0,0.23529411764705882
2023-09-08,26255.0,1,20.0,2.0,14.0,4.0,0.1
2023-09-09,25910.5,-1,4.0,0.0,3.0,1.0,0.25
2023-09-10,25901.6,-1,15.0,0.0,12.0,3.0,0.2
2023-09-11,25841.6,-1,17.0,4.0,11.0,2.0,-0.11764705882352941
2023-09-12,25162.53,-1,26.0,0.0,16.0,10.0,0.38461538461538464
2023-09-13,25840.1,-1,29.0,2.0,18.0,9.0,0.2413793103448276
2023-09-14,26222.0,1,34.0,1.0,23.0,10.0,0.2647058823529412
2023-09-15,26522.73,1,21.0,0.0,18.0,3.0,0.14285714285714285
2023-09-16,26599.99,1,22.0,1.0,16.0,5.0,0.18181818181818182
2023-09-17,26559.67,1,20.0,1.0,14.0,5.0,0.2
2023-09-18,26527.5,1,18.0,1.0,11.0,6.0,0.2777777777777778
2023-09-19,26762.5,1,17.0,2.0,9.0,6.0,0.23529411764705882
2023-09-20,27210.25,1,24.0,0.0,17.0,7.0,0.2916666666666667
2023-09-21,27125.01,1,23.0,2.0,11.0,10.0,0.34782608695652173
2023-09-22,26568.08,1,36.0,4.0,18.0,14.0,0.2777777777777778
2023-09-23,26580.14,1,12.0,1.0,7.0,4.0,0.25
2023-09-24,26575.97,1,14.0,2.0,8.0,4.0,0.14285714285714285
2023-09-25,26248.39,-1,13.0,2.0,8.0,3.0,0.07692307692307693
2023-09-26,26304.8,-1,22.0,0.0,16.0,6.0,0.2727272727272727
2023-09-27,26221.68,-1,20.0,2.0,10.0,8.0,0.3
2023-09-28,26373.0,-1,24.0,1.0,11.0,12.0,0.4583333333333333
2023-09-29,27021.39,1,19.0,1.0,11.0,7.0,0.3157894736842105
2023-09-30,26906.96,-1,3.0,0.0,3.0,0.0,0.0
2023-10-01,26962.57,-1,6.0,1.0,3.0,2.0,0.16666666666666666
2023-10-02,27992.58,1,13.0,1.0,9.0,3.0,0.15384615384615385
2023-10-03,27494.51,1,9.0,1.0,7.0,1.0,0.0
2023-10-04,27426.45,1,9.0,0.0,5.0,4.0,0.4444444444444444
2023-10-05,27778.57,1,5.0,1.0,2.0,2.0,0.2
2023-10-06,27410.39,1,8.0,1.0,5.0,2.0,0.125
2023-10-07,27931.1,1,4.0,1.0,3.0,0.0,-0.25
2023-10-08,27956.67,1,6.0,0.0,4.0,2.0,0.3333333333333333
2023-10-09,27917.06,1,18.0,1.0,11.0,6.0,0.2777777777777778
2023-10-10,27590.12,1,12.0,0.0,9.0,3.0,0.25
2023-10-11,27390.12,1,14.0,1.0,7.0,6.0,0.35714285714285715
2023-10-12,26875.52,-1,14.0,2.0,7.0,5.0,0.21428571428571427
2023-10-13,26759.63,-1,9.0,1.0,5.0,3.0,0.2222222222222222
2023-10-14,26862.0,-1,2.0,1.0,0.0,1.0,0.0
2023-10-15,26852.48,-1,8.0,0.0,6.0,2.0,0.25
2023-10-16,27154.14,-1,29.0,1.0,15.0,13.0,0.41379310344827586
2023-10-17,28500.77,1,7.0,1.0,4.0,2.0,0.14285714285714285
2023-10-18,28395.91,1,17.0,1.0,9.0,7.0,0.35294117647058826
2023-10-19,28320.0,1,17.0,1.0,13.0,3.0,0.11764705882352941
2023-10-20,28713.71,1,15.0,2.0,10.0,3.0,0.06666666666666667
2023-10-21,29669.05,1,12.0,2.0,6.0,4.0,0.16666666666666666
2023-10-22,29909.8,1,8.0,0.0,4.0,4.0,0.5
2023-10-23,29992.46,1,37.0,3.0,22.0,12.0,0.24324324324324326
2023-10-24,33069.99,1,50.0,4.0,26.0,20.0,0.32
