date,walk_forward_portfolio,buy_and_hold_portfolio,dca_portfolio
2024-08-09,10000.0,10000.0,10000.0
2024-08-10,10000.0,9862.527964205816,9988.54399701715
2024-08-11,10000.0,9876.391725837306,9989.699310486441
2024-08-12,10000.0,9517.976526278248,9959.831377189854
2024-08-13,10000.0,9620.76322017962,9968.396935014967
2024-08-14,10000.0,9821.865577278475,9985.155464773206
2024-08-15,10000.0,9513.242875206692,9959.436906267223
2024-08-16,10000.0,9328.056609279254,9944.004717439937
2024-08-17,10000.0,9544.238563045099,9962.019880253758
2024-08-18,10000.0,9644.326103167656,9970.360508597303
2024-08-19,10000.0,9471.73588820802,9955.977990684001
2024-08-20,10000.0,9635.654767694454,9969.63789730787
2024-08-21,10000.0,9566.806082417404,9963.900506868116
2024-08-22,10000.0,9914.085854164641,9992.840487847052
2024-08-23,10000.0,9787.60658820478,9982.300549017064
2024-08-24,10606.436383566072,10381.162662516617,10031.763555209718
2024-08-25,10626.275448304395,10400.58035859028,10033.38169654919
2024-08-26,10636.705118588017,10410.788509548358,10034.232375795696
2024-08-27,10407.144713372883,10186.103816100898,10015.508651341741
2024-08-28,9840.858502483527,9631.84515124988,9969.320429270823
2024-08-29,9777.902846221741,9570.226631650617,9964.185552637551
2024-08-30,9777.902846221741,9622.766916318127,9968.563909693177
2024-08-31,9777.902846221741,9584.669130759004,9965.389094229917
2024-09-01,9777.902846221741,9560.35405116234,9963.36283759686
2024-09-02,9777.902846221741,9289.266608306585,9940.77221735888
2024-09-03,9777.902846221741,9585.987095937491,9992.117503226598
2024-09-04,9777.902846221741,9319.414453846903,9945.989079059003
2024-09-05,9777.902846221741,9397.740167947346,9959.542764594473
2024-09-06,9777.902846221741,9107.414972603185,9909.304136757997
2024-09-07,9777.902846221741,8748.009272768539,9847.111638532355
2024-09-08,9777.902846221741,8780.089485458613,9852.662882076136
2024-09-09,9777.902846221741,8895.041014168532,9872.554393948696
2024-09-10,9777.902846221741,9247.156567130305,9933.485386175229
2024-09-11,9777.902846221741,9343.447459715333,9950.147812978685
2024-09-12,9777.902846221741,9295.139902084753,9941.788547408865
2024-09-13,9777.902846221741,9423.906559024737,9964.070665046249
2024-09-14,10175.812187950116,9807.410109263043,10030.433118058809
2024-09-15,10175.812187950116,9725.548746879356,10016.267614737248
2024-09-16,10029.768901413303,9585.967642576923,9992.114136966427
2024-09-17,9874.059164736267,9437.14781311805,9966.361966136026
2024-09-18,10230.254028650357,9777.581623058717,10025.271519129828
2024-09-19,10475.517938779469,10011.992996790197,10065.834673669595
2024-09-20,10677.025854125763,10204.584508640535,10099.161210406593
2024-09-21,10719.94733522741,10245.606782738385,10106.259811542346
2024-09-22,10745.037022975112,10269.586291865253,10110.409288246557
2024-09-23,10784.013221917407,10306.837856239667,10116.855395952483
2024-09-24,10743.513865890374,10268.130532049412,10110.157379777089
2024-09-25,10900.020800596169,10417.712284797199,10136.041395797522
2024-09-26,10711.629337072007,10237.65684271958,10104.8841332191
2024-09-27,11054.590713708678,10565.44272606426,10188.286444874522
2024-09-28,11155.67542375546,10662.054599098661,10212.868508818858
2024-09-29,11170.610165549571,10676.32850241546,10216.500381310801
2024-09-30,11127.190011638444,10634.829620983692,10205.941346226045
2024-10-01,10741.41231619328,10266.121972570761,10112.126841803545
2024-10-02,10313.523907003379,9857.16694225594,10008.071735636866
2024-10-03,10287.12308292327,9831.934312485815,10001.651509022771
2024-10-04,10287.12308292327,9848.704730408845,10005.918598282187
2024-10-05,10287.12308292327,10064.844535226794,10060.913521122147
2024-10-06,10287.12308292327,10060.3070388743,10059.758994023345
2024-10-07,10287.12308292327,10183.819667347536,10091.185724876403
2024-10-08,10287.12308292327,10087.21752099342,10066.60613580259
2024-10-09,10287.12308292327,10076.921829912784,10063.986485354399
2024-10-10,10287.12308292327,9829.784716143047,10001.104562637272
2024-10-11,10287.12308292327,9779.593424764129,9988.333818262137
2024-10-12,10287.12308292327,10138.441461595825,10079.639628931545
2024-10-13,10287.12308292327,10246.446519469573,10107.120591214707
2024-10-14,10232.403260973604,10191.94306649807,10093.25265424121
2024-10-15,10755.494225994833,10712.965664818597,10225.822393612667
2024-10-16,10916.64435390668,10873.478585092242,10266.663531933767
2024-10-17,11005.485738783527,10961.968680089485,10289.179078991714
2024-10-18,10973.224464262059,10929.834970657848,10281.002931741823
2024-10-19,11136.990063274503,11092.95302013423,10322.506922884564
2024-10-20,11128.85231871758,11084.847453230881,10320.444530782383
2024-10-21,11235.29564507105,11190.869889440068,10355.391554830769
2024-10-22,10966.017677682448,10922.656680608243,10266.983348093785
2024-10-23,10973.912917451575,10930.52070161787,10269.575479921412
2024-10-24,10850.64887309894,10807.744058619459,10229.105948670689
2024-10-25,11099.602009682172,11055.712803553482,10310.841192665266
2024-10-26,10855.477810719021,10812.553902019908,10230.691365107006
2024-10-27,10919.674849979678,10876.497098207048,10251.7682663251
2024-10-28,11070.862751004941,11027.087183477614,10301.4056404467
2024-10-29,11386.69187235697,11341.667477223358,10405.09732575178
2024-10-30,11838.206491353321,11791.396751288787,10553.336701472384
2024-10-31,11774.461910690026,11727.90422462147,10532.408349553009
2024-11-01,11440.368435454437,11395.131796517848,10422.720188599682
2024-11-02,11310.813914559301,11266.089550303148,10380.185394616783
2024-11-03,11291.078256459852,11246.431929449147,10373.705866572705
2024-11-04,11193.628765390691,11149.36776578154,10341.711660598834
2024-11-05,11042.920991294286,10999.255908958272,10292.231919725873
2024-11-06,11290.633935607042,11245.989365496222,10373.559989023965
2024-11-07,12299.711005567751,12251.076419284766,10704.855917464683
2024-11-08,12346.242628944241,12297.424050838115,10720.132983832833
2024-11-09,12452.3409149285,12403.102811010602,10754.966725682196
2024-11-10,12479.6316550746,12430.285640177675,10763.926706404867
2024-11-11,13080.612228347965,13028.889861556918,10961.238113951951
2024-11-12,14427.895589643333,14370.845896962033,11403.572505784341
2024-11-13,14314.618185410955,14258.016405667413,11366.38174610532
2024-11-14,14709.007465166615,14650.84622118471,11518.825559143264
2024-11-15,14212.666894052903,14156.468242388873,11326.974377810744
2024-11-16,14815.916270508742,14757.33229582077,11560.149161914065
2024-11-17,14743.636823354145,14685.338650585221,11532.210891037768
2024-11-18,14624.500243040784,14566.673151120189,11486.160870138312
2024-11-19,14723.46986479318,14665.251434685344,11524.41572971311
2024-11-20,15024.03420490533,14964.627306033784,11640.59326399679
2024-11-21,15345.598808621078,15284.92040333301,11764.88805811197
2024-11-22,16001.592162648161,15938.319878092274,12018.45004204164
2024-11-23,16095.156694465846,16031.514444120223,12054.615665012516
2024-11-24,15896.660829233364,15833.803456213727,11977.890794125931
2024-11-25,15933.711980201038,15870.708102324677,11992.212224805935
2024-11-26,15137.834052338261,15077.9771747236,11684.580470435465
2024-11-27,14967.779604332229,14908.595143144312,11618.84909839066
2024-11-28,15602.190032245438,15540.497033362513,11864.068605173501
2024-11-29,15566.527180499177,15504.975196965277,11850.28379563868
2024-11-30,15862.091690355554,15799.3710080083,11964.528738881336
2024-12-01,15690.87191732897,15628.828259248454,11898.346932205874
2024-12-02,15817.361763623967,15754.817948967351,11947.239220788715
2024-12-03,15598.528047194823,15536.849528256007,11862.653133219625
2024-12-04,15598.528047194823,15538.321499205655,11863.224354790345
2024-12-05,15598.528047194823,15982.122361637974,12035.448287461086
2024-12-06,15598.528047194823,15715.985799046786,11932.169791818422
2024-12-07,16048.276649404115,16169.121032325002,12108.016074493793
2024-12-08,16062.942662008314,16183.897480789808,12114.511865638025
2024-12-09,16268.50979709606,16391.01254741757,12205.560551581857
2024-12-10,15651.761730904076,15769.620335246247,11932.393826943648
2024-12-11,15541.789966836972,15658.820477904224,11883.685726765274
2024-12-12,16270.987653312237,16393.509062023797,12206.658030283132
2024-12-13,16270.987653312237,16211.829264338747,12126.790799419163
2024-12-14,16502.01763130939,16442.019258826964,12227.983324216202
2024-12-15,16501.327771027893,16441.33190675356,12227.6811612491
2024-12-16,16996.593761184977,16934.797198716078,12444.61065422909
2024-12-17,17256.049562243417,17193.309665077977,12558.253861097532
2024-12-18,17268.266922747527,17205.482605453428,12563.605138739007
2024-12-19,16303.482675816966,16244.206140777485,12141.023815407378
2024-12-20,15857.326927963248,15799.672535097105,11945.604904972362
2024-12-21,15857.326927963248,15855.370748630161,11970.090082386898
2024-12-22,15857.326927963248,15772.136303213047,11933.49985742701
2024-12-23,15857.326927963248,15430.775216418637,11783.436035943421
2024-12-24,15857.326927963248,15381.362059462439,11761.713796791773
2024-12-25,15857.326927963248,15994.484972278962,12031.245301394138
2024-12-26,15857.326927963248,16118.667120578413,12085.836315000444
2024-12-27,15857.326927963248,15528.904451577346,11826.574075388575
2024-12-28,15857.326927963248,15286.941931718706,11720.206297131372
2024-12-29,15857.326927963248,15449.210517783615,11791.540274768675
2024-12-30,15857.326927963248,15196.023408877218,11680.238118246783
2024-12-31,15857.326927963248,15042.643387478522,11612.811592375117
2025-01-01,15857.326927963248,15169.730570956133,11675.720056133696
2025-01-02,15857.326927963248,15334.400025937815,11757.231835350085
2025-01-03,15857.326927963248,15722.334079045488,11949.260131617593
2025-01-04,15857.326927963248,15915.146062315598,12044.702530527189
2025-01-05,15864.81187568261,15922.658301721622,12048.421107235617
2025-01-06,15887.925730206582,15945.85643419901,12059.904239021897
2025-01-07,15887.925730206582,16573.54991408099,12370.614032489051
2025-01-08,15067.231805769095,15717.439937749248,11946.837519817262
2025-01-09,14772.89624698376,15410.40268456376,11794.853335527307
2025-01-10,14383.121801658985,15003.807995331195,11593.587979162534
2025-01-11,14720.911712868332,15356.174820866972,11768.010411601188
2025-01-12,14720.911712868332,15335.730960023346,11757.890650947327
2025-01-13,14720.911712868332,15326.827805336707,11753.483567804753
2025-01-14,14720.911712868332,15325.375287747625,11752.764568078652
2025-01-15,14720.911712868332,15653.608598385372,11915.24085216634
2025-01-16,14720.911712868332,16291.759880686057,12231.127283170412
2025-01-17,14720.911712868332,16209.074992704991,12190.198063271102
2025-01-18,15323.098505197184,16872.137924326427,12518.415821050836
2025-01-19,15323.098505197184,16949.750348539375,12556.834159094149
2025-01-20,14850.512769983041,16426.996401128297,12298.069688472639
2025-01-21,14986.577587404061,16577.505430729827,12372.572022814595
2025-01-22,15555.765635179454,17207.11668774114,12684.231120607616
2025-01-23,15198.590909647304,16812.02541905781,12488.659985287944
2025-01-24,15228.44242528175,16845.045877508674,12505.005192230972
2025-01-25,15369.157390432558,17000.69869986707,12589.75394393895
2025-01-26,15351.036029991697,16980.653632915088,12578.839947158525
2025-01-27,15039.33837165246,16635.86713354732,12391.11302396852
2025-01-28,14960.612674914717,16548.784164964498,12343.698702977757
2025-01-29,14851.09165695224,16427.636740913662,12277.737207353186
2025-01-30,14851.09165695224,16816.33595953701,12489.373418435476
2025-01-31,14851.091656952241,16976.775929708525,12576.728642645887
2025-02-01,14525.860178689492,16604.993029212463,12374.302909234742
2025-02-02,14271.461540498027,16314.181499854101,12215.963897310749
2025-02-03,14271.461540498027,15838.373374833836,11956.899242799484
2025-02-04,14271.461540498027,16426.50034043381,12277.118468029037
2025-02-05,14271.461540498027,15848.513439029926,11962.420233487841
2025-02-06,14271.461540498027,15661.971922316248,11860.85342317459
2025-02-07,14271.461540498027,15652.554874687938,11855.726095451382
2025-02-08,14271.461540498027,15644.846480562852,11851.529083345364
2025-02-09,14271.461540498027,15634.787472035794,11846.052225276417
2025-02-10,14271.461540498027,15637.705476121,11847.640999575224
2025-02-11,14271.461540498027,15794.640599163507,11933.087929322292
2025-02-12,14271.461540498027,15526.733780760627,11787.219912991552
2025-02-13,14271.461540498027,15865.836656615764,11971.852256908433
2025-02-14,14271.461540498027,15661.27322244918,11860.472999995265
2025-02-15,14271.461540498027,15805.931653859872,11939.235603206289
2025-02-16,14271.461540498027,15817.149758454107,11945.343557732818
2025-02-17,14271.461540498027,15581.837045682974,11817.222150319765
2025-02-18,14221.259519677626,15527.025581169146,11784.447414596212
2025-02-19,14221.259519677626,15509.473786596636,11773.952248417192
2025-02-20,14221.259519677626,15667.148137340726,11868.234260800138
2025-02-21,14221.259519677626,15936.356709788282,12029.208609775202
2025-02-22,14221.259519677626,15592.191096845316,11823.41339686871
2025-02-23,14275.82201300877,15652.013422818793,11859.184397361758
2025-02-24,14275.82201300877,15604.513179651785,11830.781435857047
2025-02-25,14275.82201300877,14841.759880686057,11374.690032031083
2025-02-26,14275.82201300877,14376.096683202024,11096.244849639124
2025-02-27,14275.82201300877,13657.894822163862,10666.793157361313
2025-02-28,14275.82201300877,13732.219628440815,10711.235974298212
2025-03-01,14275.82201300877,13674.083260383231,10676.473099123918
2025-03-02,14275.82201300877,13952.037739519501,10842.677098190034
2025-03-03,14275.82201300877,15282.23421846124,11638.073434420303
2025-03-04,14275.82201300877,13977.427617287554,10857.859077750007
2025-03-05,14275.82201300877,14149.398566935772,10960.68979896576
2025-03-06,14275.82201300877,14688.259896897189,11282.904099163328
2025-03-07,14275.82201300877,14578.977401679474,11217.558191482512
2025-03-08,14275.82201300877,14071.546217942485,10914.137673669618
2025-03-09,14275.82201300877,13977.638362027043,10857.985093414853
2025-03-10,14275.822013008768,13087.974580942191,10326.007056219452
2025-03-11,13897.661919905293,12741.280031125378,10118.699655334824
2025-03-12,13897.661919905293,13444.37797879584,10539.119901848346
2025-03-13,13897.661919905293,13565.496222805823,10611.54304313709
2025-03-14,13897.661919905293,13149.787634147133,10337.4312912988
2025-03-15,13897.661919905293,13614.627306033784,10643.93931220813
2025-03-16,13897.661919905293,13672.21735888208,10681.913293755253
2025-03-17,13897.661919905293,13386.265927438966,10493.36138515398
2025-03-18,13897.661919905293,13618.976753234123,10646.80726977297
2025-03-19,13897.661919905293,13409.044191550758,10508.381016813897
2025-03-20,13897.661919905293,14078.709917971662,10949.948139609152
2025-03-21,13897.661919905293,13653.564828324093,10669.614106375064
2025-03-22,13875.453284751964,13631.746263333656,10655.227285329525
2025-03-23,13834.49791477607,13591.510229225432,10628.696272746849
2025-03-24,13834.49791477607,13954.949259151186,10868.342293775175
2025-03-25,13834.49791477607,14184.443795999094,11019.66740768651
2025-03-26,13817.851896843033,14167.376714327402,11008.413640544268
2025-03-27,13741.371603013353,14088.96183899102,10956.708096239807
2025-03-28,13792.416439919709,14141.297863372563,10991.217653460562
2025-03-29,13348.496803432923,13686.14920727556,10691.09973703227
2025-03-30,13067.713834717293,13398.263787569304,10501.272586770594
2025-03-31,13067.713834717293,13356.353143338845,10473.637362423295
2025-04-01,13067.713834717293,13382.290957429563,10490.740352001169
2025-04-02,13067.713834717293,13805.134066076584,10769.55649491022
2025-04-03,13067.713834717293,13376.824563109943,10487.135896947631
2025-04-04,13178.064345879082,13489.785364588399,10561.620485496123
2025-04-05,13178.064345879082,13599.499075965372,10633.963993536834
2025-04-06,13178.064345879082,13542.455338326365,10596.350243707695
2025-04-07,13178.064345879082,12714.392244593588,9999.383609149896
2025-04-08,13178.064345879082,12833.258762117825,10085.07677125929
2025-04-09,13178.064345879082,12372.729630710372,9753.07244964071
2025-04-10,13178.064345879082,13392.863858898292,10488.506864732619
2025-04-11,13178.064345879082,12905.245922899849,10136.973702095438
2025-04-12,13809.846580899964,13523.948707972637,10583.008457407974
2025-04-13,13809.846580899964,13824.353986317805,10799.57640902228
2025-04-14,13809.846580899964,13578.445676490614,10622.296371742044
2025-04-15,13946.952505204463,13713.254223000358,10719.482449625042
2025-04-16,13790.719547687808,13559.639140161464,10608.738377447802
2025-04-17,13854.4252141204,13622.277340077166,10653.895462314214
2025-04-18,14005.703707814751,13771.020977207147,10761.12761544532
2025-04-19,13927.682031608765,13694.306649807088,10705.822779138782
2025-04-20,14026.985644260103,13791.946308724833,10776.213090003557
2025-04-21,14043.842362436217,13808.520571928802,10788.16179560345
2025-04-22,14429.149612467634,14187.371526764582,11061.282746433206
2025-04-23,15406.31991356936,15148.168141879845,11753.939533290291
2025-04-24,15447.221856499036,15188.384722627503,11782.93244100959
2025-04-25,15494.936393276881,15235.299743864087,11816.754383503805
2025-04-26,15603.45811149577,15342.003047693155,11893.678850570555
2025-04-27,15601.697257132304,15340.2716986026,11892.430687661647
2025-04-28,15456.820821015986,15197.82284472976,11789.73656503175
2025-04-29,15664.87367801183,15402.389521123107,11937.21262244027
2025-04-30,15540.499324301616,15280.099212138899,11849.051183117754
2025-05-01,15526.5147112764,15266.348928444057,11838.388437214038
2025-05-02,15908.676165310164,15642.106798949519,12129.77229397208
2025-05-03,15974.169065946877,15706.502285769868,12179.708188281586
2025-05-04,15804.231781211925,15539.412508510846,12050.137346140387
2025-05-05,15543.92705484623,15283.469506857311,11851.664699827705
2025-05-06,15619.121141882417,15357.403624809518,11908.997386980576
2025-05-07,15965.41260759072,15697.89255260513,12173.031715339517
2025-05-08,15997.807051910386,15729.74418830853,12197.731271047624
2025-05-09,17025.155107410763,16739.877768051098,12981.045850487466
2025-05-10,16977.404298352023,16692.92708232014,12944.637639350547
2025-05-11,17280.366875790736,16990.813150471746,13175.635306267659
2025-05-12,17166.35155575624,16878.708296858284,13088.702876713369
2025-05-13,16947.6165120367,16663.638426871577,12921.925563160688
2025-05-14,17163.99715497812,16876.39334695069,13086.907733922693
2025-05-15,17065.75038469287,16779.79282170995,13011.998235495863
2025-05-16,17107.93834485429,16821.273870894533,13044.164981803837
2025-05-17,17058.507469694076,16772.671270628667,13006.475782919228
2025-05-18,17002.90371182148,16717.999221865575,12964.079991171677
2025-05-19,17551.541745244765,17257.44415264404,13382.396031305074
2025-05-20,17406.363589701003,17114.698635022534,13271.703101830235
2025-05-21,17616.78733487537,17321.596472457284,13432.143360195389
2025-05-22,18077.443653506805,17774.53392990306,13783.376623901073
2025-05-23,18415.8030308793,18107.223681224266,14041.36303071524
2025-05-24,17693.997830981334,17397.513212074053,13491.013484066043
2025-05-25,17767.13593918677,17469.425801640566,13546.77856403406
2025-05-26,17971.958914442883,17670.81671692118,13702.948444205991
2025-05-27,18042.950363115327,17740.618616866064,13757.076776335452
2025-05-28,17961.07228395414,17660.11250526862,13694.647794453313
2025-05-29,17770.413634387678,17472.648575041338,13549.277684389706
2025-05-30,17409.0048712462,17117.295658658368,13273.716980507168
